"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genename","symbol","entrez"
"ENSG00000188290",108.922127976716,2.0570638345631,0.19690531299384,10.4469696794187,1.5128187540777e-25,1.30538189681483e-24,"hes family bHLH transcription factor 4","HES4","57801"
"ENSG00000069812",3.15810817128513,2.95472164660346,1.29792491777337,2.2764965878553,0.0228163045971854,0.0419494382676295,"hes family bHLH transcription factor 2","HES2","54626"
"ENSG00000162490",12.974640930305,3.04770708206717,0.655648990796237,4.64838217529467,3.34548632446871e-06,1.01976788934891e-05,"dorsal inhibitory axon guidance protein","DRAXIN","374946"
"ENSG00000158825",13.8286362530918,-4.0443674573447,0.759755825117113,-5.32324639527611,1.0193152665238e-07,3.54391799906294e-07,"cytidine deaminase","CDA","978"
"ENSG00000020633",8.52787075188608,2.85925576503253,0.789746721514231,3.62047183880714,0.000294066257783623,0.000723772295794094,"RUNX family transcription factor 3","RUNX3","864"
"ENSG00000127423",20.8088303974424,-2.01706738833205,0.455301337769371,-4.43018111524588,9.41539788607258e-06,2.73588592359893e-05,"aurora kinase A and ninein interacting protein","AUNIP","79000"
"ENSG00000158008",82.7351085587211,-2.48788354918401,0.23588413885748,-10.5470573868774,5.24129428182835e-26,4.58162485916881e-25,"exostosin like glycosyltransferase 1","EXTL1","2134"
"ENSG00000162520",248.715147599884,-3.52266962028054,0.164601279604191,-21.401228646286,1.30133331485716e-101,5.8472714616966e-100,"syncoilin, intermediate filament protein","SYNC","81493"
"ENSG00000092853",122.202137432252,-2.42411269643607,0.195217558876445,-12.4174931311907,2.10040347407054e-35,2.4924111433858e-34,"claspin","CLSPN","63967"
"ENSG00000134690",309.413921089907,-3.19981705199659,0.139249076699004,-22.9790899002743,7.5451775197887e-117,4.16482495455602e-115,"cell division cycle associated 8","CDCA8","55143"
"ENSG00000163909",6.72067942828981,3.59781275780534,1.01124751179621,3.55779640081862,0.000373978999649161,0.000908322758211821,"hes related family bHLH transcription factor with YRPW motif like","HEYL","26508"
"ENSG00000117399",548.054729960495,-3.23340373493714,0.114651721709685,-28.2019640588093,5.53209469874778e-175,6.96854800599529e-173,"cell division cycle 20","CDC20","991"
"ENSG00000142945",300.535541619319,-2.95302462701478,0.138415331944883,-21.3345197061744,5.42992871588028e-101,2.43241001260315e-99,"kinesin family member 2C","KIF2C","11004"
"ENSG00000162415",21.4798159246607,2.82989198170781,0.486504417846006,5.81678578426303,5.99899389953e-09,2.2982368622634e-08,"zinc finger SWIM-type containing 5","ZSWIM5","57643"
"ENSG00000085999",49.8295652262928,-2.88281485182448,0.320875977054882,-8.98420280098252,2.60616723303193e-19,1.74510189370398e-18,"RAD54 like","RAD54L","8438"
"ENSG00000123080",131.552292323887,-2.7571401890218,0.20169567481599,-13.669803239644,1.53810519595461e-42,2.2180620722093e-41,"cyclin dependent kinase inhibitor 2C","CDKN2C","1031"
"ENSG00000085832",605.654170098824,-2.0867969772173,0.0858107006219424,-24.3186101744017,1.24600769059885e-130,8.82868333848358e-129,"epidermal growth factor receptor pathway substrate 15","EPS15","2060"
"ENSG00000085840",62.6028396919314,-2.54031934737213,0.268609359551668,-9.45730019092461,3.15996551717144e-21,2.3227716604525e-20,"origin recognition complex subunit 1","ORC1","4998"
"ENSG00000162599",31.0763295811351,-2.06564101994385,0.363228524589481,-5.68689097938667,1.29372987045505e-08,4.84918383285007e-08,"nuclear factor I A","NFIA","4774"
"ENSG00000024526",333.252157523288,-2.83279348073094,0.125335213693657,-22.6017365531034,4.16660572206555e-113,2.20098333805742e-111,"DEP domain containing 1","DEPDC1","55635"
"ENSG00000117069",23.9649851762818,-2.25416772623379,0.429801474194518,-5.24467192779707,1.56560655385747e-07,5.36602543970963e-07,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5","ST6GALNAC5","81849"
"ENSG00000171517",75.7468133455321,3.35502729994933,0.293410825278567,11.4345723160147,2.8091747954441e-30,2.80688936510205e-29,"lysophosphatidic acid receptor 3","LPAR3","23566"
"ENSG00000137975",33.5214982464307,3.78953533144022,0.473173305309943,8.00876822279305,1.15863033290322e-15,6.58538135222818e-15,"chloride channel accessory 2","CLCA2","9635"
"ENSG00000117228",682.433310695606,-2.205411880696,0.0980998845573268,-22.4812892558219,6.32748903796046e-112,3.27208889268285e-110,"guanylate binding protein 1","GBP1","2633"
"ENSG00000162645",89.9913078872337,-2.32236783016528,0.22077491060119,-10.5191655330819,7.04951468140773e-26,6.13678366063716e-25,"guanylate binding protein 2","GBP2","2634"
"ENSG00000137962",747.210466132633,-2.18043253928494,0.0923899176710919,-23.6003299304507,3.8241665875177e-123,2.37808300282008e-121,"Rho GTPase activating protein 29","ARHGAP29","9411"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982969,-40.3775625252686,0,0,"calponin 3","CNN3","1266"
"ENSG00000117598",1.68039679429589,-4.26194180393955,1.68783675672881,-2.52509123702201,0.0115668255394431,0.0225863844369044,"phospholipid phosphatase related 5","PLPPR5","163404"
"ENSG00000134222",215.560012132067,-2.08611319809047,0.159782401950157,-13.0559634392104,5.87619075681473e-39,7.66400879415359e-38,"proline and serine rich coiled-coil 1","PSRC1","84722"
"ENSG00000173947",2.17667202894805,4.48138074538501,1.54716244388048,2.896515981958,0.00377331422131361,0.00799124946022704,"ciliary microtubule associated protein 3","CIMAP3","128344"
"ENSG00000184599",4.87392111876866,-2.38597269514712,0.928834723502434,-2.56878068269254,0.0102057025183333,0.0201165766637951,"TAFA chemokine like family member 3","TAFA3","284467"
"ENSG00000183508",2053.88135557663,3.20195534795427,0.072417201475762,44.2153974843389,0,0,"terminal nucleotidyltransferase 5C","TENT5C","54855"
"ENSG00000092621",1283.19734617957,-2.32800498477343,0.152523694565332,-15.2632349446286,1.3441591558731e-52,2.43668113644006e-51,"phosphoglycerate dehydrogenase","PHGDH","26227"
"ENSG00000188610",16.596191894567,-2.22948970010646,0.50220793985886,-4.43937565131494,9.02202235442896e-06,2.62572206673724e-05,"family with sequence similarity 72 member B","FAM72B","653820"
"ENSG00000263513",5.86998829636057,-2.67717724049597,0.883782872105962,-3.02922507891167,0.0024518194222628,0.00533750585602794,"family with sequence similarity 72 member C","FAM72C","554282"
"ENSG00000264343",11.4934459118352,-2.36668231985497,0.599115029184404,-3.95029702906439,7.80542662718905e-05,0.000204982853940685,"notch 2 N-terminal like A","NOTCH2NLA","388677"
"ENSG00000150337",4.83679464027018,2.58755584683912,0.975832965117352,2.65163807673575,0.00801023534701375,0.0160357034154155,"Fc gamma receptor Ia","FCGR1A","2209"
"ENSG00000143416",142.598013627199,-2.12201889023951,0.17022885099915,-12.4656829778525,1.14883277114422e-35,1.37208244579607e-34,"selenium binding protein 1","SELENBP1","8991"
"ENSG00000173207",201.547644874983,-2.53293182589029,0.153231986960324,-16.5300462138244,2.22972629066863e-61,4.91206368787357e-60,"CDC28 protein kinase regulatory subunit 1B","CKS1B","1163"
"ENSG00000183856",323.429239491754,-2.81373707390766,0.130539001605579,-21.5547617133561,4.7772225438342e-103,2.19335532246195e-101,"IQ motif containing GTPase activating protein 3","IQGAP3","128239"
"ENSG00000158473",3.82103427558311,5.29974131910723,1.39957325214216,3.78668377021035,0.000152671195107869,0.000388411543845981,"CD1d molecule","CD1D","912"
"ENSG00000198929",11.0483398602251,2.60399870089878,0.659841301722872,3.94640149699577,7.93345381661369e-05,0.00020815959115053,"nitric oxide synthase 1 adaptor protein","NOS1AP","9722"
"ENSG00000239887",25.6824110757332,2.75849472855795,0.465481538003492,5.92610985258295,3.10195119913338e-09,1.21264076320498e-08,"chromosome 1 open reading frame 226","C1orf226","400793"
"ENSG00000143248",679.495343922114,2.03805120067571,0.0845080260036244,24.1166584649404,1.67176163517575e-128,1.15132817659907e-126,"regulator of G protein signaling 5","RGS5","8490"
"ENSG00000143228",132.19342759075,-2.80268474739792,0.193869098106768,-14.4565832036543,2.27830156229464e-47,3.66968398088507e-46,"NUF2 component of NDC80 kinetochore complex","NUF2","83540"
"ENSG00000120337",90.8357060431566,2.24646743228525,0.242212844304507,9.27476591398687,1.78009487469117e-20,1.26190660236645e-19,"TNF superfamily member 18","TNFSF18","8995"
"ENSG00000116183",15.6925593685169,-2.6088366857597,0.546969415246377,-4.76962077410595,1.84573056656165e-06,5.7534638515198e-06,"pappalysin 2","PAPPA2","60676"
"ENSG00000198756",84.8395419009338,-2.18013969250012,0.228581239759887,-9.53770175885932,1.46032588660096e-21,1.0930565219261e-20,"collagen beta(1-O)galactosyltransferase 2","COLGALT2","23127"
"ENSG00000143341",2279.33849385387,2.05720946158248,0.0629925114453734,32.6580003619394,6.16939827403726e-234,1.49056707807805e-231,"hemicentin 1","HMCN1","83872"
"ENSG00000116690",7.8297291410748,2.22942109465681,0.749988242127963,2.97260806160268,0.00295281246507284,0.00635400060012316,"proteoglycan 4","PRG4","10216"
"ENSG00000073756",1357.62706625186,6.337747301665,0.339984261408966,18.6412961452981,1.48596319335728e-77,4.42426778660598e-76,"prostaglandin-endoperoxide synthase 2","PTGS2","5743"
"ENSG00000116711",252.499482827766,2.93482473266367,0.157723142742145,18.6074451829919,2.79637316029534e-77,8.27569229647244e-76,"phospholipase A2 group IVA","PLA2G4A","5321"
"ENSG00000162670",4.97106555231261,2.26552453109403,0.933562355296981,2.42675223378446,0.0152346561107687,0.0290577208485521,"BMP/retinoic acid inducible neural specific 3","BRINP3","339479"
"ENSG00000150681",15.7264239200752,3.02178291957628,0.590888123288136,5.11396794161449,3.15460918509628e-07,1.05785279112512e-06,"regulator of G protein signaling 18","RGS18","64407"
"ENSG00000162630",36.2936814473686,-2.75263394190459,0.365332252292203,-7.53460425307031,4.89818041933209e-14,2.57911336263367e-13,"beta-1,3-galactosyltransferase 2","B3GALT2","8707"
"ENSG00000066279",593.333577786577,-3.10048884483019,0.105364403559754,-29.4263407761982,2.5283548140305e-190,3.92240981570331e-188,"assembly factor for spindle microtubules","ASPM","259266"
"ENSG00000116833",15.902660471549,2.56328056527686,0.550119330514991,4.6594991724382,3.16979670722311e-06,9.67815700664062e-06,"nuclear receptor subfamily 5 group A member 2","NR5A2","2494"
"ENSG00000118193",212.976344881228,-2.45568331593476,0.146839767015944,-16.7235576972015,8.8287723869075e-63,1.9956817091755e-61,"kinesin family member 14","KIF14","9928"
"ENSG00000116852",50.116200530578,2.3119114405793,0.302770578060756,7.63585238495458,2.24331235265232e-14,1.20007032498693e-13,"kinesin family member 21B","KIF21B","23046"
"ENSG00000159176",5692.46278267679,-2.31373756503587,0.0575533663106386,-40.201602675119,0,0,"cysteine and glycine rich protein 1","CSRP1","1465"
"ENSG00000163431",648.670543428421,-2.82926158026152,0.232844473053943,-12.150864236344,5.67623762787558e-34,6.43510693535617e-33,"leiomodin 1","LMOD1","25802"
"ENSG00000162892",25.2789285099654,7.0520980863162,1.22109331214002,5.77523274937695,7.68467833127458e-09,2.92275585151806e-08,"interleukin 24","IL24","11009"
"ENSG00000162894",6.07172598409682,2.28135790156555,0.834049574840041,2.73527853785319,0.00623275107320774,0.0127209922887323,"Fc mu receptor","FCMR","9214"
"ENSG00000123689",21.7892108035725,2.71950373556369,0.495477440524978,5.48865299030016,4.05010391244783e-08,1.45871044627703e-07,"G0/G1 switch 2","G0S2","50486"
"ENSG00000117594",138.031343314429,2.44698136607219,0.18367361807325,13.3224433195208,1.71404714394954e-40,2.34337911016033e-39,"hydroxysteroid 11-beta dehydrogenase 1","HSD11B1","3290"
"ENSG00000143469",154.097372688971,2.60925835791098,0.180075238466571,14.4898231435376,1.40504116366791e-47,2.27554908463051e-46,"synaptotagmin 14","SYT14","255928"
"ENSG00000117650",126.838303527204,-3.43633089724672,0.220272576287665,-15.6003573171045,7.23878344091215e-55,1.3855219526255e-53,"NIMA related kinase 2","NEK2","4751"
"ENSG00000143476",150.445624494916,-2.75839058632263,0.189069738089538,-14.589275968724,3.28667187053689e-48,5.41822930961664e-47,"denticleless E3 ubiquitin protein ligase homolog","DTL","51514"
"ENSG00000143494",125.361654022723,2.20923216531442,0.188093886825842,11.7453693078285,7.4595907854399e-32,7.85281778541523e-31,"vasohibin 2","VASH2","79805"
"ENSG00000117724",1324.17284690485,-2.82511200625218,0.078171511472937,-36.1399178936208,5.35778353356258e-286,2.21230320948385e-283,"centromere protein F","CENPF","1063"
"ENSG00000143799",1043.84682510942,-2.61747584698133,0.0743747823896519,-35.1930555341767,2.55367981590164e-271,9.40903328168961e-269,"poly(ADP-ribose) polymerase 1","PARP1","142"
"ENSG00000116991",845.465812777274,2.42014865392117,0.0824494797375006,29.3531100696613,2.18081805455741e-189,3.34801005084033e-187,"signal induced proliferation associated 1 like 2","SIPA1L2","57568"
"ENSG00000174371",83.3010613307275,-2.50283621059598,0.237784740185562,-10.5256384772329,6.58137267618537e-26,5.73603018933293e-25,"exonuclease 1","EXO1","9156"
"ENSG00000197472",3.34438630074425,-2.68497866096188,1.16871801720448,-2.29737081266552,0.0215976253305661,0.039927973171335,"zinc finger protein 695","ZNF695","57116"
"ENSG00000171848",822.67379311788,-2.5328064759672,0.08902871217915,-28.4493217297191,4.96814084869357e-178,6.59643782234647e-176,"ribonucleotide reductase regulatory subunit M2","RRM2","6241"
"ENSG00000162975",265.399863805106,2.24095259482394,0.134614673006703,16.6471644195306,3.17283800809983e-62,7.07432474483741e-61,"potassium voltage-gated channel modifier subfamily F member 1","KCNF1","3754"
"ENSG00000196208",10.1619789404487,2.2352510082271,0.648945205886444,3.44443720047797,0.000572249553339698,0.00135439439812437,"growth regulating estrogen receptor binding 1","GREB1","9687"
"ENSG00000162981",79.2791589935576,2.5975206090534,0.247294609881047,10.50374939552,8.30158144958188e-26,7.20545979999634e-25,"LRAT domain containing 1","LRATD1","151354"
"ENSG00000143867",287.341815489332,-2.50819525805818,0.130760155731845,-19.1816478346953,5.26839532095258e-82,1.66621481202144e-80,"odd-skipped related transcription factor 1","OSR1","130497"
"ENSG00000115163",75.4012085365385,-2.89064132299117,0.25794215165412,-11.2065488500201,3.78671709719464e-29,3.67403795776528e-28,"centromere protein A","CENPA","1058"
"ENSG00000075426",1241.54577193998,-2.02417343922895,0.0754066735931197,-26.8434256913521,1.00651912777957e-158,1.03734817518988e-156,"FOS like 2, AP-1 transcription factor subunit","FOSL2","2355"
"ENSG00000213626",2217.24066575268,-2.41398326460871,0.222956000862609,-10.8271733224003,2.55934239395911e-27,2.34720523971185e-26,"LBH regulator of WNT signaling pathway","LBH","81606"
"ENSG00000152689",276.651098223156,2.81650085448466,0.155472403625895,18.1157606674806,2.39341594266174e-73,6.63048198551668e-72,"RAS guanyl releasing protein 3","RASGRP3","25780"
"ENSG00000150938",7442.98631416393,-2.05963137024161,0.0538449075112118,-38.2511822462087,0,0,"cysteine rich transmembrane BMP regulator 1","CRIM1","51232"
"ENSG00000163171",4580.95736441411,-2.02028700913573,0.134812193242524,-14.9859368098943,9.07370674482279e-51,1.58822197155817e-49,"CDC42 effector protein 3","CDC42EP3","10602"
"ENSG00000119865",249.515401681249,-2.02244438376139,0.130056864706408,-15.5504623944833,1.57961239737867e-54,2.984657373406e-53,"cannabinoid receptor interacting protein 1","CNRIP1","25927"
"ENSG00000124374",5.20803296766438,-3.32065827442418,1.06438901715525,-3.11977878473339,0.0018098690475791,0.00401231197701877,"poly(A) binding protein interacting protein 2B","PAIP2B","400961"
"ENSG00000003137",8.76343847232493,3.53934185987151,0.873226647402537,4.05317665281916,5.05268195276828e-05,0.000135615419085593,"cytochrome P450 family 26 subfamily B member 1","CYP26B1","56603"
"ENSG00000115353",50.0429620001663,2.88915296202428,0.330806366073787,8.73366796508338,2.46544157621254e-18,1.58187540053202e-17,"tachykinin receptor 1","TACR1","6869"
